timestamp,mem_allocated_public,mem_requested_public,cpu_allocated_public,cpu_requested_public,cluster_mem_load_public,cluster_cpu_load_public,cluster_cpu_capacity_public,cluster_memory_capacity_public,number_pending_public_x,mem_allocated_private,mem_requested_private,cpu_allocated_private,cpu_requested_private,cluster_mem_load_private,cluster_cpu_load_private,cluster_cpu_capacity_private,cluster_memory_capacity_private,number_pending_private_x,time_seconds,number_of_pods_pending,number_pending_private_y,number_pending_public_y,total_percent_pending,cpu_load_public,mem_load_public,cpu_load_private,mem_load_private,cost_public,cost_public_hourly,cost_private,cost_private_hourly,cost_total,cumulative_cost_public,cumulative_cost_private,cumulative_cost_total,migration_execution,migration_type,migration_total_pods,migration_to_private,migration_to_public
2026-08-13 23:08:00,0.0,0.0,0.0,0.0,0.0,0.0,232.56,469.71562500000005,0,119.77748437499999,119.77748437499999,59.88419999999999,59.88419999999999,119.77748437499999,59.88419999999999,232.56,469.71562500000005,0,0.0,0,0,0,0.0,0.0,0.0,0.206,0.204,0.08512,10.2144,0.08512,10.2144,0.17024,0.08512,0.08512,0.17024,,,,,
2026-08-13 23:08:30,0.0,0.0,0.0,0.0,0.0,0.0,232.56,469.71562500000005,0,119.77748437499999,119.77748437499999,59.88419999999999,59.88419999999999,119.77748437499999,59.88419999999999,232.56,469.71562500000005,0,30.0,0,0,0,0.0,0.0,0.0,0.206,0.204,0.08512,10.2144,0.08512,10.2144,0.17024,0.17024,0.17024,0.34048,,,,,
2026-08-13 23:09:00,0.0,0.0,0.0,0.0,0.0,0.0,232.56,469.71562500000005,0,179.6662265625,179.6662265625,89.82629999999999,89.82629999999999,179.6662265625,89.82629999999999,232.56,469.71562500000005,0,60.0,0,0,0,0.0,0.0,0.0,0.309,0.306,0.08512,10.2144,0.08512,10.2144,0.17024,0.25536000000000003,0.25536000000000003,0.5107200000000001,,,,,
2026-08-13 23:09:30,0.0,0.0,0.0,0.0,0.0,0.0,232.56,469.71562500000005,0,239.55496874999997,239.55496874999997,119.76839999999999,119.76839999999999,239.55496874999997,119.76839999999999,232.56,469.71562500000005,0,90.0,0,0,0,0.0,0.0,0.0,0.412,0.408,0.08512,10.2144,0.08512,10.2144,0.17024,0.34048,0.34048,0.68096,,,,,
2026-08-13 23:10:00,0.0,0.0,0.0,0.0,0.0,0.0,232.56,469.71562500000005,0,299.4437109375,299.4437109375,149.7105,149.7105,299.4437109375,149.7105,232.56,469.71562500000005,0,120.0,0,0,0,0.0,0.0,0.0,0.515,0.51,0.08512,10.2144,0.08512,10.2144,0.17024,0.4256,0.4256,0.8512,,,,,
2026-08-13 23:10:30,0.0,0.0,0.0,0.0,0.0,0.0,232.56,469.71562500000005,0,359.91959765625,359.91959765625,179.9433,179.9433,359.91959765625,179.9433,232.56,469.71562500000005,0,150.0,0,0,0,0.0,0.0,0.0,0.619,0.613,0.08512,10.2144,0.08512,10.2144,0.17024,0.51072,0.51072,1.02144,,,,,
2026-08-13 23:11:00,0.0,0.0,0.0,0.0,0.0,0.0,232.56,469.71562500000005,0,419.80833984375,419.80833984375,209.88539999999998,209.88539999999998,419.80833984375,209.88539999999998,232.56,469.71562500000005,0,180.0,0,0,0,0.0,0.0,0.0,0.722,0.715,0.08512,10.2144,0.08512,10.2144,0.17024,0.5958399999999999,0.5958399999999999,1.1916799999999999,,,,,
2026-08-13 23:11:30,0.0,0.0,0.0,0.0,0.0,0.0,232.56,469.71562500000005,0,479.69708203125,479.69708203125,239.8275,239.8275,479.69708203125,239.8275,232.56,469.71562500000005,0,210.0,0,0,0,0.0,0.0,0.0,0.825,0.817,0.08512,10.2144,0.08512,10.2144,0.17024,0.6809599999999999,0.6809599999999999,1.3619199999999998,,,,,
2026-08-13 23:12:00,0.0,0.0,0.0,0.0,0.0,0.0,232.56,469.71562500000005,0,531.9529453125,539.5858242187501,265.9905,269.7696,531.9529453125,265.9905,232.56,469.71562500000005,4,240.0,4,4,0,0.014814814814814815,0.0,0.0,0.915,0.906,0.08512,10.2144,0.08512,10.2144,0.17024,0.7660799999999999,0.7660799999999999,1.5321599999999997,,,,,
2026-08-13 23:12:30,0.0,0.0,0.0,0.0,0.0,0.0,232.56,469.71562500000005,0,531.9529453125,599.4745664062499,265.9905,299.71169999999995,531.9529453125,265.9905,232.56,469.71562500000005,34,270.0,34,34,0,0.11333333333333333,0.0,0.0,0.915,0.906,0.08512,10.2144,0.08512,10.2144,0.17024,0.8511999999999998,0.8511999999999998,1.7023999999999997,,,,,
2026-08-13 23:13:00,0.0,0.0,0.0,0.0,0.0,0.0,232.56,469.71562500000005,0,531.9529453125,659.9504531250001,265.9905,329.9445,531.9529453125,265.9905,232.56,469.71562500000005,64,300.0,64,64,0,0.19393939393939394,0.0,0.0,0.915,0.906,0.08512,10.2144,0.08512,10.2144,0.17024,0.9363199999999998,0.9363199999999998,1.8726399999999996,,,,,
2026-08-13 23:13:30,363.44246484375,391.62540234375,181.9782,195.9318,363.44246484375,181.9782,232.56,469.71562500000005,14,497.89856249999997,533.71437890625,248.83919999999998,266.8626,497.89856249999997,248.83919999999998,232.56,469.71562500000005,18,330.0,32,18,14,0.13333333333333333,0.626,0.619,0.856,0.848,0.08512,10.2144,0.08512,10.2144,0.17024,1.02144,1.02144,2.04288,1.0,public,300.0,0.0,50.0
2026-08-13 23:14:00,599.953552734375,599.953552734375,299.67345,299.67345,599.953552734375,299.67345,263.16,531.5203125,0,179.6662265625,179.6662265625,89.82629999999999,89.82629999999999,179.6662265625,89.82629999999999,232.56,469.71562500000005,0,360.0,0,0,0,0.0,0.911,0.903,0.309,0.306,0.09632,11.5584,0.08512,10.2144,0.18144,1.1177599999999999,1.10656,2.2243199999999996,,,,,
2026-08-13 23:14:30,599.953552734375,599.953552734375,299.67345,299.67345,599.953552734375,299.67345,263.16,531.5203125,0,239.55496874999997,239.55496874999997,119.76839999999999,119.76839999999999,239.55496874999997,119.76839999999999,232.56,469.71562500000005,0,390.0,0,0,0,0.0,0.911,0.903,0.412,0.408,0.09632,11.5584,0.08512,10.2144,0.18144,1.2140799999999998,1.19168,2.4057599999999995,,,,,
2026-08-13 23:15:00,599.953552734375,599.953552734375,299.67345,299.67345,599.953552734375,299.67345,263.16,531.5203125,0,299.4437109375,299.4437109375,149.7105,149.7105,299.4437109375,149.7105,232.56,469.71562500000005,0,420.0,0,0,0,0.0,0.911,0.903,0.515,0.51,0.09632,11.5584,0.08512,10.2144,0.18144,1.3103999999999998,1.2768000000000002,2.5871999999999993,,,,,
2026-08-13 23:15:30,599.953552734375,599.953552734375,299.67345,299.67345,599.953552734375,299.67345,263.16,531.5203125,0,359.91959765625,359.91959765625,179.9433,179.9433,359.91959765625,179.9433,232.56,469.71562500000005,0,450.0,0,0,0,0.0,0.911,0.903,0.619,0.613,0.09632,11.5584,0.08512,10.2144,0.18144,1.4067199999999997,1.3619200000000002,2.768639999999999,,,,,
2026-08-13 23:16:00,599.953552734375,599.953552734375,299.67345,299.67345,599.953552734375,299.67345,263.16,531.5203125,0,419.80833984375,419.80833984375,209.88539999999998,209.88539999999998,419.80833984375,209.88539999999998,232.56,469.71562500000005,0,480.0,0,0,0,0.0,0.911,0.903,0.722,0.715,0.09632,11.5584,0.08512,10.2144,0.18144,1.5030399999999997,1.4470400000000003,2.950079999999999,,,,,
2026-08-13 23:16:30,599.953552734375,599.953552734375,299.67345,299.67345,599.953552734375,299.67345,263.16,531.5203125,0,531.9529453125,599.4745664062499,265.9905,299.71169999999995,531.9529453125,265.9905,232.56,469.71562500000005,34,510.0,34,34,0,0.056666666666666664,0.911,0.903,0.915,0.906,0.09632,11.5584,0.08512,10.2144,0.18144,1.5993599999999997,1.5321600000000004,3.1315199999999987,,,,,
2026-08-13 23:17:00,599.953552734375,599.953552734375,299.67345,299.67345,599.953552734375,299.67345,263.16,531.5203125,0,531.9529453125,599.4745664062499,265.9905,299.71169999999995,531.9529453125,265.9905,232.56,469.71562500000005,34,540.0,34,34,0,0.056666666666666664,0.911,0.903,0.915,0.906,0.09632,11.5584,0.08512,10.2144,0.18144,1.6956799999999996,1.6172800000000005,3.3129599999999986,,,,,
